,count_dev,count_val,%missing_dev,%missing_val,mean_dev,mean_val,std_dev,std_val,unique_val_dev,unique_val_val
s204a,32566.0,6149.0,0.0,0.0,855.2155315359578,854.3166368515206,3357.664387659393,3013.8354940587824,,
bc101s,32566.0,6149.0,0.0,0.0,3597.8354111650187,4062.408196454708,7964.209973855259,8813.090135719149,,
at35a,32566.0,6149.0,0.0,0.0,8436.372627894123,10610.356155472435,12700.953470805336,16107.241447038183,,
bc107s,32566.0,6149.0,0.0,0.0,2.711324694466622,3.6274190925353715,5.9367803110975,7.260057044699438,,
reap01,32566.0,6149.0,0.0,0.0,172.1273721058773,191.15352089770695,429.2909680595441,738.9337798133851,,
g250b,32566.0,6149.0,0.0,0.0,2.530461217220414,2.728248495690356,2.7617581215183153,2.8697858218041983,,
g213a,32566.0,6149.0,0.0,0.0,864.7822268623718,808.930883070418,2607.8869962511435,2442.1124185837275,,
br32s,32566.0,6149.0,0.0,0.0,1465.2401584474605,1881.8606277443487,6503.425656701775,9265.559220351231,,
bc24s,32566.0,6149.0,0.0,0.0,-0.06132162377940183,-0.2654090095950561,2.904797520051693,2.7824168059032917,,
fi33s,32566.0,6149.0,0.0,0.0,4784.61413744396,3451.0808261505936,10437.582142580648,8258.069783742461,,
g230s,32566.0,6149.0,0.0,0.0,-0.5773506110667568,-0.5948934786144089,0.9867641458447557,0.9270636000551687,,
rvlr03,32566.0,6149.0,0.0,0.0,2342.2557882454093,2340.779476337616,6165.138210820781,6267.85733412867,,
re24s,32566.0,6149.0,0.0,0.0,1.2520113001289688,1.1583997397950887,4.3849075469147305,4.019627322875592,,
g221a,32566.0,6149.0,0.0,0.0,0.15202972425228767,0.16734428362335338,0.6934649400427807,0.6823839164235583,,
bc29s,32566.0,6149.0,0.0,0.0,0.48341828901308115,0.03691657180029273,2.647512272048698,2.6174623767662477,,
trv02,32566.0,6149.0,0.0,0.0,2.5404102438125653,2.7274353553423323,4.278254838057522,4.534283157964029,,
g223s,32566.0,6149.0,0.0,0.0,0.08392188171712829,0.12229630834281997,1.7605782718442975,1.4733610026508892,,
cv13,32566.0,6149.0,0.0,0.0,24.550175029171527,26.85916409172223,19.074086459563993,19.226841751529527,,
md33s,32566.0,6149.0,0.0,0.0,2.484001719584843,-0.6544153520897706,106.63198804343264,18.6294056485532,,
target,32566.0,6149.0,0.0,0.0,0.08284714119019837,0.07919986989754432,0.2756552660005746,0.2700724207556433,,
prediction,32566.0,6149.0,0.0,0.0,0.08121959234744826,0.07701828585672467,0.07401946051794561,0.06596142466912151,,
model_score,32566.0,6149.0,0.0,0.0,918.7823189829884,922.9812977719954,74.0197154964974,65.95939639563377,,
Sample,32566,6149,0.0,0.0,,,,,1.0,1.0
application_month,32566,6149,0.0,0.0,2023-03-22 21:15:35.871767808,2023-06-22 00:00:00.000000256,,,,
approved,32566,6149,0.0,0.0,,,,,2.0,2.0
Observation_Exclusion,32566,6149,0.0,0.0,,,,,3.0,3.0
Performance_Exclusion,32566,6149,0.0,0.0,,,,,4.0,4.0
Exclusion_flag,32566,6149,0.0,0.0,,,,,6.0,6.0
